omelette lunch, 🍒 Food, 55.0
ice cream , 🍒 Food, 20.0
omelette lunch, 🍒 Food, 55.0
nerd gift, 👻 Miscellaneous, 59.0
daniel bd cake, 👻 Miscellaneous, 625.0
phtobooth @ paper plane, 🎉 Fun, 100.0
paper plane whiskey , 🎉 Fun, 931.0
bagel bfast, 🍒 Food, 677.0
dinner w farah :D, 🍒 Food, 160.0
bts fare, 🚗 Transport, 32.0
thai green tea b4 work!, 🍒 Food, 25.0
chicken rice lunch, 🍒 Food, 65.0
blueberry smoothie, 🍒 Food, 60.0
cashew nut lunch, 🍒 Food, 70.0
not an expense but 1l worth of coffee LOL , 🎉 Fun, 0.0
nike shorts, 🛍️ Shopping, 980.0
strawberry smoothie, 🍒 Food, 69.0
bts fares, 🚗 Transport, 64.0
food court caifan, 🍒 Food, 70.0
soymilk bfast, 🍒 Food, 12.0
bellinee's thai milk tea , 🍒 Food, 37.0
caifan, 🍒 Food, 43.0
hachiban lunch, 🍒 Food, 88.0
teazer thai milk tea, 🍒 Food, 50.0
bellinees bfast run , 🍒 Food, 107.0
route66 entry fee, 🎉 Fun, 300.0
dinner + bottle, 🎉 Fun, 431.0
coco lunch, 🍒 Food, 210.0
yogurt drink, 🍒 Food, 45.0
duffel bag, 🛍️ Shopping, 1150.0
base makeup, 🛍️ Shopping, 199.0
towel, 👻 Miscellaneous, 60.0
grocery run, 🏫 Groceries, 77.0
coconut ice creams, 🍒 Food, 155.0
fruits, 🍒 Food, 60.0
bellinees run, 🍒 Food, 55.0
7/11 drink, 🍒 Food, 30.0
kai jiao lunch, 🍒 Food, 50.0
fruits, 🍒 Food, 25.0
banana smoothie, 🍒 Food, 40.0
lunch, 🍒 Food, 70.0
fruits , 🍒 Food, 25.0
pads+ovaltine , 🏫 Groceries, 35.0
carrot juice , 🍒 Food, 13.0
dinner, 🍒 Food, 60.0
book from shopee, 🛍️ Shopping, 115.0
lunch, 🍒 Food, 75.0
fruits, 🍒 Food, 30.0
chocolate ice cream, 🍒 Food, 10.0
belt, 🛍️ Shopping, 32.0
kombucha b4 work, 🍒 Food, 15.0
lunch, 🍒 Food, 75.0
fruits after lunch, 🍒 Food, 25.0
grape, 🏫 Groceries, 50.0
badminton fee, 🎉 Fun, 230.0
cafe matcha+croissant, 🍒 Food, 255.0
drink, 🍒 Food, 35.0
mrt top up, 🚗 Transport, 100.0
red line, 🚗 Transport, 20.0
yum yupa, 🍒 Food, 35.0
thai milk tea, 🍒 Food, 30.0
desserts, 🍒 Food, 30.0
mookata, 🍒 Food, 295.0
public van, 🚗 Transport, 43.0
matcha honey, 🍒 Food, 60.0
pretz, 🍒 Food, 10.0
soy milk, 🍒 Food, 12.0
bread b4 work , 🍒 Food, 40.0
somtum lunch, 🍒 Food, 178.0
ice cream, 🍒 Food, 35.0
soymilk, 🍒 Food, 37.0
parking, 👻 Miscellaneous, 20.0
chinda hotpot w ung x and farah!, 🍒 Food, 245.0
americano b4 work, 🍒 Food, 75.0
foodcourt lunch, 🍒 Food, 70.0
sunscreen + socks, 🛍️ Shopping, 584.0
lunch-gai pad ga tiam, 🍒 Food, 60.0
avocado shake [never again bro], 🍒 Food, 25.0
lunch, 🍒 Food, 65.0
mixue ice cream, 🍒 Food, 15.0
badminton racket rental, 🎉 Fun, 100.0
vb court rental, 🎉 Fun, 170.0
smol luggage, 🛍️ Shopping, 850.0
candy, 🏫 Groceries, 32.0
hanging out w ntu peeps, 🎉 Fun, 600.0
711 snacks, 🍒 Food, 65.0
probiotic smoothie b4 work, 🍒 Food, 59.0
pineapple, 🍒 Food, 30.0
daniel chinda buffet, 🍒 Food, 776.0
americano b4 work, 🍒 Food, 50.0
boat noodle lunch, 🍒 Food, 65.0
dinner i think, 🍒 Food, 60.0
khao yai trip!, 🎉 Fun, 912.0
red pork rice, 🍒 Food, 70.0
t shirt , 🛍️ Shopping, 490.0
drink at dmk, 🍒 Food, 114.0
check, 🍒 Food, 0.0
